Label,Total:,Total:!!Urban:,Total:!!Urban:!!Inside urbanized areas,Total:!!Urban:!!Inside urban clusters,Total:!!Rural,Total:!!Not defined for this file
Alabama,,,,,,
    Alabama,"2,171,853","1,267,224","1,040,659","226,565","904,629",0
Alaska,,,,,,
    Alaska,"306,967","182,989","123,286","59,703","123,978",0
Arizona,,,,,,
    Arizona,"2,844,526","2,515,504","2,242,637","272,867","329,022",0
Arkansas,,,,,,
    Arkansas,"1,316,299","720,584","506,573","214,011","595,715",0
California,,,,,,
    California,"13,680,081","12,814,688","12,051,891","762,797","865,393",0
Colorado,,,,,,
    Colorado,"2,212,898","1,838,986","1,617,575","221,411","373,912",0
Connecticut,,,,,,
    Connecticut,"1,487,891","1,308,541","1,259,361","49,180","179,350",0
Delaware,,,,,,
    Delaware,"405,885","339,111","251,189","87,922","66,774",0
District of Columbia,,,,,,
    District of Columbia,"296,719","296,719","296,719",0,0,0
Florida,,,,,,
    Florida,"8,989,580","8,190,007","7,868,477","321,530","799,573",0
Georgia,,,,,,
    Georgia,"4,088,801","3,021,219","2,627,344","393,875","1,067,582",0
Hawaii,,,,,,
    Hawaii,"519,508","465,032","343,223","121,809","54,476",0
Idaho,,,,,,
    Idaho,"667,796","447,466","320,550","126,916","220,330",0
Illinois,,,,,,
    Illinois,"5,296,715","4,653,006","4,175,309","477,697","643,709",0
Indiana,,,,,,
    Indiana,"2,795,541","2,045,946","1,661,795","384,151","749,595",0
Iowa,,,,,,
    Iowa,"1,336,417","848,403","542,462","305,941","488,014",0
Kansas,,,,,,
    Kansas,"1,233,215","900,963","609,736","291,227","332,252",0
Kentucky,,,,,,
    Kentucky,"1,927,164","1,117,530","779,669","337,861","809,634",0
Louisiana,,,,,,
    Louisiana,"1,964,981","1,435,286","1,211,651","223,635","529,695",0
Maine,,,,,,
    Maine,"721,830","251,161","166,873","84,288","470,669",0
Maryland,,,,,,
    Maryland,"2,378,814","2,073,112","1,953,855","119,257","305,702",0
Massachusetts,,,,,,
    Massachusetts,"2,808,254","2,566,340","2,504,170","62,170","241,914",0
Michigan,,,,,,
    Michigan,"4,532,233","3,256,662","2,887,280","369,382","1,275,571",0
Minnesota,,,,,,
    Minnesota,"2,347,201","1,638,077","1,289,593","348,484","709,124",0
Mississippi,,,,,,
    Mississippi,"1,274,719","626,138","352,526","273,612","648,581",0
Missouri,,,,,,
    Missouri,"2,712,729","1,881,796","1,519,706","362,090","830,933",0
Montana,,,,,,
    Montana,"482,825","251,958","116,980","134,978","230,867",0
Nebraska,,,,,,
    Nebraska,"796,793","564,143","409,695","154,448","232,650",0
Nevada,,,,,,
    Nevada,"1,173,814","1,097,550","999,698","97,852","76,264",0
New Hampshire,,,,,,
    New Hampshire,"614,754","343,920","265,821","78,099","270,834",0
New Jersey,,,,,,
    New Jersey,"3,553,562","3,373,106","3,286,946","86,160","180,456",0
New Mexico,,,,,,
    New Mexico,"901,388","677,019","467,906","209,113","224,369",0
New York,,,,,,
    New York,"8,108,103","6,935,786","6,492,127","443,659","1,172,317",0
North Carolina,,,,,,
    North Carolina,"4,327,528","2,787,646","2,280,125","507,521","1,539,882",0
North Dakota,,,,,,
    North Dakota,"317,498","182,040","122,440","59,600","135,458",0
Ohio,,,,,,
    Ohio,"5,127,508","4,074,109","3,424,890","649,219","1,053,399",0
Oklahoma,,,,,,
    Oklahoma,"1,664,378","1,091,090","750,131","340,959","573,288",0
Oregon,,,,,,
    Oregon,"1,675,562","1,328,268","1,018,953","309,315","347,294",0
Pennsylvania,,,,,,
    Pennsylvania,"5,567,315","4,316,955","3,868,362","448,593","1,250,360",0
Rhode Island,,,,,,
    Rhode Island,"463,388","419,181","416,552","2,629","44,207",0
South Carolina,,,,,,
    South Carolina,"2,137,683","1,423,307","1,203,977","219,330","714,376",0
South Dakota,,,,,,
    South Dakota,"363,438","200,981","105,088","95,893","162,457",0
Tennessee,,,,,,
    Tennessee,"2,812,133","1,845,423","1,506,349","339,074","966,710",0
Texas,,,,,,
    Texas,"9,977,436","8,280,411","7,328,804","951,607","1,697,025",0
Utah,,,,,,
    Utah,"979,709","848,925","753,757","95,168","130,784",0
Vermont,,,,,,
    Vermont,"322,539","106,561","45,774","60,787","215,978",0
Virginia,,,,,,
    Virginia,"3,364,939","2,458,130","2,256,078","202,052","906,809",0
Washington,,,,,,
    Washington,"2,885,677","2,379,818","2,123,384","256,434","505,859",0
West Virginia,,,,,,
    West Virginia,"881,917","424,443","289,445","134,998","457,474",0
Wisconsin,,,,,,
    Wisconsin,"2,624,358","1,743,597","1,378,190","365,407","880,761",0
Wyoming,,,,,,
    Wyoming,"261,868","162,874","61,697","101,177","98,994",0
Puerto Rico,,,,,,
    Puerto Rico,"1,636,946","1,529,804","1,480,462","49,342","107,142",0
