State,65 Years and Over Population,65 Years and Over COVID Deaths,65 Years and Over Crude Mortality Rate (%)
AL,849837.0,8260.0,0.9719510917976036
AK,91588.0,262.0,0.28606367646416564
AZ,1308633.0,11765.0,0.8990297508927254
AR,523882.0,4838.0,0.923490404327692
CA,5838115.0,46820.0,0.801971184192158
CO,842412.0,5482.0,0.6507504641434357
CT,630244.0,7015.0,1.1130609732103758
DE,188906.0,1230.0,0.6511174870041184
FL,4497337.0,27296.0,0.6069369495770497
GA,1516954.0,13275.0,0.8751089354060835
HI,268448.0,340.0,0.12665395160329002
ID,290670.0,1799.0,0.6189149207004507
IL,2043232.0,17562.0,0.8595206026530516
IN,1085743.0,11098.0,1.0221571771588671
IA,552954.0,5274.0,0.9537863909113597
KS,475487.0,4152.0,0.8732099931228403
KY,750564.0,6140.0,0.8180514919447243
LA,741022.0,7321.0,0.9879598716367396
ME,285265.0,813.0,0.2849981596059804
MD,959396.0,7998.0,0.8336495044799019
MA,1169332.0,11842.0,1.0127149517844376
MI,1765401.0,13870.0,0.7856571962970453
MN,920382.0,6611.0,0.7182887105571382
MS,486693.0,5707.0,1.172607783551438
MO,1062037.0,9224.0,0.8685196466789764
MT,206437.0,1343.0,0.6505616725683865
NE,312458.0,2413.0,0.7722637922536789
NV,495972.0,4195.0,0.8458138765898074
NH,253864.0,1225.0,0.48254183342262
NJ,1475535.0,19030.0,1.2897017014167742
NM,377606.0,2854.0,0.7558142614259307
NY,3296146.0,20768.0,0.6300691777609365
NC,1751094.0,8997.0,0.513793091633002
ND,119845.0,1481.0,1.2357628603613
OH,2046320.0,19178.0,0.9371945736737167
OK,635132.0,6718.0,1.057732880724007
OR,766080.0,2038.0,0.2660296574770259
PA,2393362.0,23908.0,0.9989295392840698
RI,187046.0,2351.0,1.2569100649038205
SC,937023.0,7227.0,0.7712724234090305
SD,151871.0,1745.0,1.1490014551823586
TN,1143393.0,10133.0,0.8862219726725632
TX,3734229.0,39057.0,1.0459187157509622
UT,365872.0,1884.0,0.5149341846328771
VT,125039.0,211.0,0.16874735082654213
VA,1358906.0,8903.0,0.655159370846843
WA,1209723.0,4426.0,0.36586888072724083
WV,367011.0,2333.0,0.635675769936051
WI,1017243.0,7078.0,0.695802281264162
WY,99179.0,534.0,0.5384204317446234
USA,53970920.0,458645.0,0.8498002257512007
